# T-283 · rota→hücre eşlemesi · üretim: collmind.backend/scripts/analysis/route-cell-map.py
# ölçüm: 2026-08-26 · B3b-1 W9 (Z42 karar-bekler paketi göçü, 41 rota) sonrası · @Roles sütunu: "-" = yok (göçtü) · "?" = ÇÖZÜLEMEDİ (kusur)
# ⚠️ SAYI YAZMA: hücre/kaynak dağılımı üreticinin MUTABAKAT çıktısındadır (stderr).
#dosya	YÖNTEM	yol	@Roles	hücre	kaynak	kapsam	beyan
src/modules/admin/admin-audit.controller.ts	GET	admin/audit-log	-	ADMIN_READ	MEKANIK	CAP	ADMIN_READ
src/modules/admin/admin-audit.controller.ts	GET	admin/audit-log/high-risk	-	ADMIN_READ	MEKANIK	CAP	ADMIN_READ
src/modules/customer/customer.controller.ts	POST	customers	-	CUSTOMER_WRITE	MEKANIK	CAP	CUSTOMER_WRITE
src/modules/customer/customer.controller.ts	POST	customers/bulk	-	CUSTOMER_WRITE	MEKANIK	CAP	CUSTOMER_WRITE
src/modules/customer/customer.controller.ts	GET	customers	-	CUSTOMER_READ	MEKANIK	CAP	CUSTOMER_READ
src/modules/customer/customer.controller.ts	GET	customers/search	-	CUSTOMER_READ	MEKANIK	CAP	CUSTOMER_READ
src/modules/customer/customer.controller.ts	GET	customers/channel/:channel	-	CUSTOMER_READ	MEKANIK	CAP	CUSTOMER_READ
src/modules/customer/customer.controller.ts	GET	customers/channel-id/:channelId	-	CUSTOMER_READ	MEKANIK	CAP	CUSTOMER_READ
src/modules/customer/customer.controller.ts	GET	customers/city/:city	-	CUSTOMER_READ	MEKANIK	CAP	CUSTOMER_READ
src/modules/customer/customer.controller.ts	GET	customers/vip	-	CUSTOMER_READ	MEKANIK	CAP	CUSTOMER_READ
src/modules/customer/customer.controller.ts	GET	customers/:id	-	CUSTOMER_READ	MEKANIK	CAP	CUSTOMER_READ
src/modules/customer/customer.controller.ts	GET	customers/code/:code	-	CUSTOMER_READ	MEKANIK	CAP	CUSTOMER_READ
